,post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
0,47609356,Artemis II's toilet is a moon mission milestone,science,325,170,1659447091,"Sunday, April 05, 2026 16:08:42",0.5214723926380368,True
1,47640728,Show HN: A game where you build a GPU,technology,768,159,Jaso1024,"Sunday, April 05, 2026 16:08:42",0.2067620286085826,True
2,47643656,The Oxygen Apocalpyse: how bacteria used a spin diode to wipe out ancient life,others,21,4,KR_compchem,"Sunday, April 05, 2026 16:08:42",0.18181818181818182,False
3,47645035,Microsoft Discontinuing Publisher. Alternatives?,others,6,10,supliminal,"Sunday, April 05, 2026 16:08:42",1.4285714285714286,False
4,47640440,"""Privacy. That's iPhone."" – and Other Things That Need an Asterisk",others,12,2,upofadown,"Sunday, April 05, 2026 16:08:42",0.15384615384615385,False
5,47592068,Why Inventing Color TV Was So Difficult [video],others,42,12,DamnInteresting,"Sunday, April 05, 2026 16:08:42",0.27906976744186046,False
6,47623101,A Rave Review of Superpowers (For Claude Code),technology,46,25,emschwartz,"Sunday, April 05, 2026 16:08:42",0.5319148936170213,False
7,47642541,Ask HN: How Do You Relax?,others,9,13,azeirah,"Sunday, April 05, 2026 16:08:42",1.3,False
8,47645817,How Pope Leo is pushing back on divine justification of war,worldnews,31,17,1659447091,"Sunday, April 05, 2026 16:08:42",0.53125,False
9,47645925,Don't Buy the DGX Spark: NVFP4 Still Missing After 6 Months,others,7,0,kristianp,"Sunday, April 05, 2026 16:08:42",0.0,False
10,47639291,The Indie Internet Index – submit your favorite sites,others,148,28,freshman_dev,"Sunday, April 05, 2026 16:08:42",0.18791946308724833,False
11,47640431,What life looks like on the most remote inhabited island,others,89,23,brightbeige,"Sunday, April 05, 2026 16:08:42",0.25555555555555554,False
12,47617376,OpenAI Acquires TBPN,technology,238,190,surprisetalk,"Sunday, April 05, 2026 16:08:42",0.7949790794979079,True
13,47645037,Shooting down ideas is not a skill,others,140,145,zdw,"Sunday, April 05, 2026 16:08:42",1.0283687943262412,False
